Product Name,Price,Ratings
Prince in Jazz [Disco de Vinil],"R$173,46","3,3 de 5 estrelas"
Live In Bremen 1983,"R$161,81","4,9 de 5 estrelas"
Black Saint & The Sinner Lady,"R$173,37","4,8 de 5 estrelas"
The Capitol Studios Sessions [Disco de Vinil],"R$195,00","4,6 de 5 estrelas"
A Place In Time [Disco de Vinil],"R$157,05",-1
Skylyners [Disco de Vinil],"R$188,26","5,0 de 5 estrelas"
Thelonious Monk Trio [Disco de Vinil],"R$157,23","4,7 de 5 estrelas"
Oh Good Grief [Disco de Vinil],"R$182,64","4,4 de 5 estrelas"
Happysad [Disco de Vinil],"R$169,00","4,5 de 5 estrelas"
Lush Life [Disco de Vinil],"R$144,11","4,6 de 5 estrelas"
Blue Dream [LP],"R$238,73","5,0 de 5 estrelas"
Things Are Getting Better [Disco de Vinil],"R$170,09","4,5 de 5 estrelas"
Formidable [Disco de Vinil],"R$158,07","5,0 de 5 estrelas"
Blacks And Blues [Disco de Vinil],"R$193,77","4,7 de 5 estrelas"
Come Fly With Me,"R$179,48","4,7 de 5 estrelas"
Somethin Else [Disco de Vinil],"R$155,93","4,1 de 5 estrelas"
Live at Fillmore Qwest,"R$212,13","4,5 de 5 estrelas"
Spanish Heart Band - Antidote [Disco de Vinil],"R$221,31","4,5 de 5 estrelas"
Louis & The Good Book [Disco de Vinil],"R$160,11","5,0 de 5 estrelas"
Moovin & Groovin [Disco de Vinil],"R$141,73","4,2 de 5 estrelas"
Beyond The Missouri Sky,"R$213,72","4,8 de 5 estrelas"
New Boss Guitar [Disco de Vinil],"R$158,50","5,0 de 5 estrelas"
Drum Suite [Disco de Vinil],"R$319,38",-1
Songs For Swingin Lovers (1 Bonus Track/Limited Solid Orange Colored Vinyl/180G) [Disco de Vinil],"R$177,56","4,7 de 5 estrelas"
12 Little Spells,"R$252,55","4,3 de 5 estrelas"
IV,"R$199,89","4,8 de 5 estrelas"
Peace Of Time [Disco de Vinil],"R$258,03","5,0 de 5 estrelas"
In A Minor Groove,"R$194,50","4,5 de 5 estrelas"
Des Femmes Disparaissent [Disco de Vinil],"R$170,31",-1
Genius of Modern Music 1 [Disco de Vinil],"R$146,98","4,2 de 5 estrelas"
Mise En Abyme [Disco de Vinil],"R$174,39",-1
Blue [Disco de Vinil],"R$217,18","4,7 de 5 estrelas"
East Coasting [Disco de Vinil],"R$326,78","4,5 de 5 estrelas"
Cykada,"R$184,59",-1
Last Dance [Disco de Vinil],"R$254,97","4,7 de 5 estrelas"
Heaven & Earth,"R$550,17","4,4 de 5 estrelas"
Basel 1980,"R$171,38","4,2 de 5 estrelas"
Undercurrent: Original Stereo & Mono Versions [Disco de Vinil],"R$206,01","4,2 de 5 estrelas"
Back At The Chicken Shack,"R$159,40","4,6 de 5 estrelas"
Africa [Disco de Vinil],"R$318,20",-1
That's Life [Disco de Vinil],"R$198,00","4,4 de 5 estrelas"
Stardust [Disco de Vinil],"R$150,60","3,6 de 5 estrelas"
Combustication,"R$191,16","3,8 de 5 estrelas"
Mr. Shing-A-Ling [Disco de Vinil],"R$277,02","4,7 de 5 estrelas"
Saxophone Colossus [Disco de Vinil],"R$158,47","4,6 de 5 estrelas"
Birch Tree of Mind [Disco de Vinil],"R$158,47",-1
Immigrance,"R$201,53","4,6 de 5 estrelas"
Hits (180G/Dmm/Limited/Gatefold) [Disco de Vinil],"R$160,11","5,0 de 5 estrelas"
EMANON,"R$1.419,04","4,8 de 5 estrelas"
Django [Disco de Vinil],"R$167,25","4,4 de 5 estrelas"
Round About Midnight [Disco de Vinil],"R$227,42","4,4 de 5 estrelas"
Glamoured - Blue Note Tone Poet Series,"R$385,59","4,4 de 5 estrelas"
Monk [Disco de Vinil],"R$185,71","4,8 de 5 estrelas"
Afro-Cuban [Disco de Vinil],"R$152,79","4,5 de 5 estrelas"
Where The River Goes,"R$204,99","4,6 de 5 estrelas"
Afro-Harping [Disco de Vinil],"R$203,94","4,7 de 5 estrelas"
Live Stuff [Disco de Vinil],"R$388,59",-1
Here Comes the Sun [Disco de Vinil],"R$270,25","4,5 de 5 estrelas"
Autumn Leaves: In Concert [Disco de Vinil],"R$163,17","4,6 de 5 estrelas"
Way Out West,"R$131,55","4,5 de 5 estrelas"
Arvoles [Disco de Vinil],"R$170,31","4,5 de 5 estrelas"
Aida [Disco de Vinil],"R$246,81",-1
Coltrane Live At Birdland [LP],"R$162,49","4,6 de 5 estrelas"
Aura Will Prevail [Disco de Vinil],"R$275,63","5,0 de 5 estrelas"
Never Look Away,"R$239,67",-1
Feel,"R$244,29",-1
Precocious Noise & Early Electronica 2 [Disco de Vinil],"R$213,15",-1
Eternity [Disco de Vinil],"R$184,59",-1
Complete Cuban Jam Sessions,"R$865,50","4,7 de 5 estrelas"
Inner Source [Disco de Vinil],"R$301,32",-1
What Color Is Love,"R$208,53","4,2 de 5 estrelas"
Blue & Sentimental [Disco de Vinil],"R$209,07",-1
Stuff [Disco de Vinil],"R$391,65","3,3 de 5 estrelas"
Media Dreams [Disco de Vinil],"R$190,71",-1
Babylon Is Falling [Disco de Vinil],"R$199,89","4,7 de 5 estrelas"
Eldridge Session [Disco de Vinil],"R$171,28",-1
I Love the Blues / She Heard My Cry [Disco de Vinil],"R$200,91","4,4 de 5 estrelas"
My Favorite Things [Disco de Vinil],"R$164,19","4,0 de 5 estrelas"
Soft Hell [Disco de Vinil],"R$143,41",-1
Rumproller [Disco de Vinil],"R$217,88","4,4 de 5 estrelas"
Epistrophy [Disco de Vinil],"R$281,67","4,6 de 5 estrelas"
Mothership [Disco de Vinil],"R$218,70",-1
Pathways To Unknown Worlds,"R$193,77","5,0 de 5 estrelas"
Absinthe,"R$200,91","4,5 de 5 estrelas"
Stan Getz - Getz At The Gate [Disco de Vinil],"R$299,41","4,5 de 5 estrelas"
Ella At The Shrine,"R$155,20","2,7 de 5 estrelas"
Shamania [Disco de Vinil],"R$196,83","4,7 de 5 estrelas"
The New Folk Sound [Disco de Vinil],"R$235,59","4,7 de 5 estrelas"
Chi [Disco de Vinil],"R$214,97",-1
The Secret Between The Shadow And The Soul [Disco de Vinil],"R$211,31","4,4 de 5 estrelas"
Tomorrow Comes The Harvest [Disco de Vinil],"R$160,11","4,9 de 5 estrelas"
Minor Works [Disco de Vinil],"R$253,95",-1
Chris Potter Orchestra [Disco de Vinil],"R$274,32","4,0 de 5 estrelas"
Dart Drug,"R$198,87",-1
Cornbread [Disco de Vinil],"R$268,86","4,6 de 5 estrelas"
Phonopoetics [Disco de Vinil],"R$237,69",-1
Mingus Plays Piano [Disco de Vinil],"R$194,79","4,4 de 5 estrelas"
Live [Disco de Vinil],"R$234,22","4,7 de 5 estrelas"
Astral Traveling [Disco de Vinil],"R$198,79","4,0 de 5 estrelas"
Between Nothingness & Eternity,"R$239,00","4,7 de 5 estrelas"
"New Bottle, Old Wine","R$241,75","4,0 de 5 estrelas"
Goldbrun [Disco de Vinil],"R$183,50",-1
